	Topic	Set	Count
167	fuel	USABLE	23
168	gas	TRAIN	38
169	gas	TEST	17
170	gas	NOT-USED	10
171	gas	USABLE	55
172	gnp	TRAIN	101
173	gnp	TEST	35
174	gnp	NOT-USED	27
175	gnp	USABLE	136
176	gold	TRAIN	94
177	gold	TEST	30
178	gold	NOT-USED	11
179	gold	USABLE	124
180	grain	TRAIN	434
181	grain	TEST	149
182	grain	NOT-USED	45
183	grain	USABLE	583
184	groundnut	TRAIN	5
185	groundnut	TEST	4
186	groundnut	NOT-USED	1
187	groundnut	USABLE	9
188	groundnut-meal	TRAIN	0
189	groundnut-meal	TEST	0
190	groundnut-meal	NOT-USED	0
191	groundnut-meal	USABLE	0
192	groundnut-oil	TRAIN	1
193	groundnut-oil	TEST	1
194	groundnut-oil	NOT-USED	0
195	groundnut-oil	USABLE	2
196	heat	TRAIN	14
197	heat	TEST	5
198	heat	NOT-USED	6
199	heat	USABLE	19
200	hk	TRAIN	0
201	hk	TEST	0
202	hk	NOT-USED	1
203	hk	USABLE	0
204	hog	TRAIN	16
205	hog	TEST	6
206	hog	NOT-USED	5
207	hog	USABLE	22
208	housing	TRAIN	16
209	housing	TEST	4
210	housing	NOT-USED	1
211	housing	USABLE	20
212	income	TRAIN	9
213	income	TEST	7
214	income	NOT-USED	2
215	income	USABLE	16
216	instal-debt	TRAIN	5
217	instal-debt	TEST	1
218	instal-debt	NOT-USED	1
219	instal-debt	USABLE	6
220	interest	TRAIN	347
221	interest	TEST	133
222	interest	NOT-USED	33
223	interest	USABLE	480
224	inventories	TRAIN	5
225	inventories	TEST	0
226	inventories	NOT-USED	2
227	inventories	USABLE	5
228	ipi	TRAIN	41
229	ipi	TEST	12
230	ipi	NOT-USED	12
231	ipi	USABLE	53
232	iron-steel	TRAIN	40
233	iron-steel	TEST	14
234	iron-steel	NOT-USED	13
235	iron-steel	USABLE	54
236	jet	TRAIN	4
237	jet	TEST	1
238	jet	NOT-USED	3
239	jet	USABLE	5
240	jobs	TRAIN	46
241	jobs	TEST	21
242	jobs	NOT-USED	9
243	jobs	USABLE	67
244	l-cattle	TRAIN	6
245	l-cattle	TEST	2
246	l-cattle	NOT-USED	1
247	l-cattle	USABLE	8
248	lead	TRAIN	15
249	lead	TEST	14
250	lead	NOT-USED	6
251	lead	USABLE	29
252	lei	TRAIN	12
253	lei	TEST	3
254	lei	NOT-USED	2
255	lei	USABLE	15
256	lin-meal	TRAIN	1
257	lin-meal	TEST	0
258	lin-meal	NOT-USED	0
259	lin-meal	USABLE	1
260	lin-oil	TRAIN	1
261	lin-oil	TEST	1
262	lin-oil	NOT-USED	0
263	lin-oil	USABLE	2
264	linseed	TRAIN	2
265	linseed	TEST	0
266	linseed	NOT-USED	0
267	linseed	USABLE	2
268	lit	TRAIN	1
269	lit	TEST	0
270	lit	NOT-USED	2
271	lit	USABLE	1
272	livestock	TRAIN	75
273	livestock	TEST	24
274	livestock	NOT-USED	15
275	livestock	USABLE	99
276	lumber	TRAIN	10
277	lumber	TEST	6
278	lumber	NOT-USED	1
279	lumber	USABLE	16
280	lupin	TRAIN	0
281	lupin	TEST	0
282	lupin	NOT-USED	0
283	lupin	USABLE	0
284	meal-feed	TRAIN	30
285	meal-feed	TEST	19
286	meal-feed	NOT-USED	2
287	meal-feed	USABLE	49
288	mexpeso	TRAIN	0
289	mexpeso	TEST	0
290	mexpeso	NOT-USED	0
291	mexpeso	USABLE	0
292	money-fx	TRAIN	539
293	money-fx	TEST	180
294	money-fx	NOT-USED	82
295	money-fx	USABLE	719
296	money-supply	TRAIN	140
297	money-supply	TEST	34
298	money-supply	NOT-USED	16
299	money-supply	USABLE	174
300	naphtha	TRAIN	2
301	naphtha	TEST	4
302	naphtha	NOT-USED	1
303	naphtha	USABLE	6
304	nat-gas	TRAIN	75
305	nat-gas	TEST	30
306	nat-gas	NOT-USED	25
307	nat-gas	USABLE	105
308	nickel	TRAIN	8
309	nickel	TEST	1
310	nickel	NOT-USED	2
311	nickel	USABLE	9
312	nkr	TRAIN	1
313	nkr	TEST	2
314	nkr	NOT-USED	0
315	nkr	USABLE	3
316	nzdlr	TRAIN	2
317	nzdlr	TEST	2
318	nzdlr	NOT-USED	0
319	nzdlr	USABLE	4
320	oat	TRAIN	8
321	oat	TEST	6
322	oat	NOT-USED	0
323	oat	USABLE	14
324	oilseed	TRAIN	124
325	oilseed	TEST	47
326	oilseed	NOT-USED	21
327	oilseed	USABLE	171
328	orange	TRAIN	16
329	orange	TEST	11
330	orange	NOT-USED	2
331	orange	USABLE	27
332	palladium	TRAIN	2
333	palladium	TEST	1
334	palladium	NOT-USED	0
335	palladium	USABLE	3
336	palm-meal	TRAIN	0
337	palm-meal	TEST	0
338	palm-meal	NOT-USED	0
339	palm-meal	USABLE	0
340	palm-oil	TRAIN	30
341	palm-oil	TEST	10
342	palm-oil	NOT-USED	3
343	palm-oil	USABLE	40
344	palmkernel	TRAIN	2
345	palmkernel	TEST	1
346	palmkernel	NOT-USED	0
347	palmkernel	USABLE	3
348	peseta	TRAIN	1
349	peseta	TEST	0
350	peseta	NOT-USED	0
351	peseta	USABLE	1
352	pet-chem	TRAIN	20
353	pet-chem	TEST	12
354	pet-chem	NOT-USED	9
355	pet-chem	USABLE	32
356	platinum	TRAIN	5
357	platinum	TEST	7
358	platinum	NOT-USED	0
359	platinum	USABLE	12
360	plywood	TRAIN	4
361	plywood	TEST	0
362	plywood	NOT-USED	0
363	plywood	USABLE	4
364	pork-belly	TRAIN	3
365	pork-belly	TEST	0
366	pork-belly	NOT-USED	1
367	pork-belly	USABLE	3
368	potato	TRAIN	3
369	potato	TEST	3
370	potato	NOT-USED	0
371	potato	USABLE	6
372	propane	TRAIN	3
373	propane	TEST	3
374	propane	NOT-USED	0
375	propane	USABLE	6
376	rand	TRAIN	2
377	rand	TEST	1
378	rand	NOT-USED	0
379	rand	USABLE	3
380	rape-meal	TRAIN	1
381	rape-meal	TEST	0
382	rape-meal	NOT-USED	0
383	rape-meal	USABLE	1
384	rape-oil	TRAIN	5
385	rape-oil	TEST	3
386	rape-oil	NOT-USED	0
387	rape-oil	USABLE	8
388	rapeseed	TRAIN	18
389	rapeseed	TEST	9
390	rapeseed	NOT-USED	8
391	rapeseed	USABLE	27
392	red-bean	TRAIN	1
393	red-bean	TEST	0
394	red-bean	NOT-USED	0
395	red-bean	USABLE	1
396	reserves	TRAIN	55
397	reserves	TEST	18
398	reserves	NOT-USED	11
399	reserves	USABLE	73
400	retail	TRAIN	23
401	retail	TEST	2
402	retail	NOT-USED	2
403	retail	USABLE	25
404	rice	TRAIN	35
405	rice	TEST	24
406	rice	NOT-USED	8
407	rice	USABLE	59
408	ringgit	TRAIN	1
409	ringgit	TEST	0
410	ringgit	NOT-USED	0
411	ringgit	USABLE	1
412	rubber	TRAIN	37
413	rubber	TEST	12
414	rubber	NOT-USED	2
415	rubber	USABLE	49
416	rupiah	TRAIN	1
417	rupiah	TEST	0
418	rupiah	NOT-USED	0
419	rupiah	USABLE	1
420	rye	TRAIN	1
421	rye	TEST	1
422	rye	NOT-USED	0
423	rye	USABLE	2
424	saudriyal	TRAIN	3
425	saudriyal	TEST	0
426	saudriyal	NOT-USED	0
427	saudriyal	USABLE	3
428	sfr	TRAIN	0
429	sfr	TEST	1
430	sfr	NOT-USED	2
431	sfr	USABLE	1
432	ship	TRAIN	198
433	ship	TEST	89
434	ship	NOT-USED	18
435	ship	USABLE	287
436	silk	TRAIN	0
437	silk	TEST	0
438	silk	NOT-USED	0
439	silk	USABLE	0
440	silver	TRAIN	21
441	silver	TEST	8
442	silver	NOT-USED	8
443	silver	USABLE	29
444	singdlr	TRAIN	0
445	singdlr	TEST	0
446	singdlr	NOT-USED	0
447	singdlr	USABLE	0
448	skr	TRAIN	1
449	skr	TEST	0
450	skr	NOT-USED	0
451	skr	USABLE	1
452	sorghum	TRAIN	24
453	sorghum	TEST	10
454	sorghum	NOT-USED	1
455	sorghum	USABLE	34
456	soy-meal	TRAIN	13
457	soy-meal	TEST	13
458	soy-meal	NOT-USED	1
459	soy-meal	USABLE	26
460	soy-oil	TRAIN	14
461	soy-oil	TEST	11
462	soy-oil	NOT-USED	0
463	soy-oil	USABLE	25
464	soybean	TRAIN	78
465	soybean	TEST	33
466	soybean	NOT-USED	9
467	soybean	USABLE	111
468	stg	TRAIN	17
469	stg	TEST	0
470	stg	NOT-USED	4
471	stg	USABLE	17
472	strategic-metal	TRAIN	16
473	strategic-metal	TEST	11
474	strategic-metal	NOT-USED	5
475	strategic-metal	USABLE	27
476	sugar	TRAIN	126
477	sugar	TEST	36
478	sugar	NOT-USED	22
479	sugar	USABLE	162
480	sun-meal	TRAIN	1
481	sun-meal	TEST	1
482	sun-meal	NOT-USED	0
483	sun-meal	USABLE	2
484	sun-oil	TRAIN	5
485	sun-oil	TEST	2
486	sun-oil	NOT-USED	1
487	sun-oil	USABLE	7
488	sunseed	TRAIN	11
489	sunseed	TEST	5
490	sunseed	NOT-USED	1
491	sunseed	USABLE	16
492	tapioca	TRAIN	3
493	tapioca	TEST	0
494	tapioca	NOT-USED	1
495	tapioca	USABLE	3
496	tea	TRAIN	9
497	tea	TEST	4
498	tea	NOT-USED	2
499	tea	USABLE	13
500	tin	TRAIN	18
501	tin	TEST	12
502	tin	NOT-USED	3
503	tin	USABLE	30
504	trade	TRAIN	369
505	trade	TEST	118
506	trade	NOT-USED	65
507	trade	USABLE	487
508	tung	TRAIN	0
509	tung	TEST	0
510	tung	NOT-USED	0
511	tung	USABLE	0
512	tung-oil	TRAIN	0
513	tung-oil	TEST	0
514	tung-oil	NOT-USED	0
515	tung-oil	USABLE	0
516	veg-oil	TRAIN	87
517	veg-oil	TEST	37
518	veg-oil	NOT-USED	13
519	veg-oil	USABLE	124
520	wheat	TRAIN	212
521	wheat	TEST	71
522	wheat	NOT-USED	23
523	wheat	USABLE	283
524	wool	TRAIN	2
525	wool	TEST	0
526	wool	NOT-USED	0
527	wool	USABLE	2
528	wpi	TRAIN	19
529	wpi	TEST	10
530	wpi	NOT-USED	3
531	wpi	USABLE	29
532	yen	TRAIN	45
533	yen	TEST	14
534	yen	NOT-USED	10
535	yen	USABLE	59
536	zinc	TRAIN	21
537	zinc	TEST	13
538	zinc	NOT-USED	10
539	zinc	USABLE	34
